Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,year,Day_Perc_Change,Trend,upper_bb,lower_bb,middle_bb
2018-02-09,LALPATHLAB,EQ,893.2,897.95,910.0,870.0,909.0,898.45,889.27,47015,41809238.45,3737,20682,43.99,2,2018,0.5877742946708508,Slight Positive,924.3011369633708,871.1274344652,897.7142857142854
2018-02-12,LALPATHLAB,EQ,898.45,910.2,910.2,887.1,910.0,908.9,903.46,59377,53644483.8,1850,36461,61.41,2,2018,1.1631142523234272,Positive,923.3527047167612,871.4830095689525,897.4178571428569
2018-02-14,LALPATHLAB,EQ,908.9,910.0,910.1,898.05,908.0,902.75,902.19,39037,35218601.45,6177,23206,59.45,2,2018,-0.6766420948399188,Slight Negative,922.0527452297574,871.7615404845278,896.9071428571426
2018-02-15,LALPATHLAB,EQ,902.75,905.0,905.7,899.9,903.2,902.25,902.07,13461,12142697.9,1628,8631,64.12,2,2018,-0.055386319579064924,Slight or No change,920.7262287314072,872.0666284114495,896.3964285714284
2018-02-16,LALPATHLAB,EQ,902.25,902.95,924.95,899.15,913.0,914.95,907.8,37776,34293043.35,1988,26719,70.73,2,2018,1.4075921307841632,Positive,923.8157989752406,871.2699153104736,897.5428571428571
2018-02-19,LALPATHLAB,EQ,914.95,914.85,915.0,890.0,906.8,901.5,904.21,134078,121235274.35,2202,121114,90.33,2,2018,-1.4700256844636383,Negative,923.9219923171722,871.2994362542563,897.6107142857143
2018-02-20,LALPATHLAB,EQ,901.5,909.0,912.75,899.9,907.5,906.1,903.91,17332,15666513.9,1848,10394,59.97,2,2018,0.5102606766500317,Slight Positive,925.0671962606398,872.3399465965031,898.7035714285714
2018-02-21,LALPATHLAB,EQ,906.1,905.95,910.0,901.25,906.95,905.1,905.43,30252,27391032.55,732,26611,87.96,2,2018,-0.11036309458116733,Slight or No change,925.2592953776655,872.3478474794774,898.8035714285714
2018-02-22,LALPATHLAB,EQ,905.1,900.0,914.0,900.0,914.0,905.85,903.1,13457,12152952.3,1740,7988,59.36,2,2018,0.08286377195889649,Slight or No change,924.4169099587526,872.5330900412474,898.475
2018-02-23,LALPATHLAB,EQ,905.85,913.0,913.0,901.0,910.0,905.6,905.95,13420,12157850.3,833,9010,67.14,2,2018,-0.027598388254124195,Slight or No change,924.3534951537615,872.5393619890956,898.4464285714286
2018-02-26,LALPATHLAB,EQ,905.6,906.0,912.0,904.0,912.0,909.55,907.48,7576,6875075.8,657,5520,72.86,2,2018,0.4361749116607694,Slight or No change,925.9204016932305,873.6795983067694,899.8
2018-02-27,LALPATHLAB,EQ,909.55,909.15,910.9,906.0,910.9,907.65,908.02,11222,10189764.2,1792,7810,69.6,2,2018,-0.20889450827331624,Slight or No change,922.235580803918,882.800133481796,902.517857142857
2018-02-28,LALPATHLAB,EQ,907.65,909.65,912.9,905.0,912.5,911.6,908.91,13325,12111212.55,2995,8063,60.51,2,2018,0.4351897757946421,Slight or No change,916.2564564681261,894.2364006747309,905.2464285714285
2018-03-01,LALPATHLAB,EQ,911.6,908.0,914.9,908.0,909.0,910.5,910.08,416646,379179626.2,1120,409538,98.29,3,2018,-0.12066695919262793,Slight or No change,915.3412630724553,897.6230226418303,906.4821428571428
2018-03-05,LALPATHLAB,EQ,910.5,909.0,912.0,909.0,911.95,910.65,910.3,11483,10452964.1,1034,6418,55.89,3,2018,0.016474464579907533,Slight or No change,915.1450326607288,899.5621101964135,907.3535714285712
2018-03-06,LALPATHLAB,EQ,910.65,908.0,910.95,891.0,899.8,897.4,907.02,12325,11178961.35,815,8913,72.32,3,2018,-1.4550046669961068,Negative,915.8888851520855,897.1754005621997,906.5321428571426
2018-03-07,LALPATHLAB,EQ,897.4,896.1,896.1,870.0,877.0,875.2,884.74,11273,9973711.45,766,6097,54.08,3,2018,-2.4738132382438054,Negative,923.7613779849577,885.3671934436135,904.5642857142856
2018-03-08,LALPATHLAB,EQ,875.2,875.0,896.0,864.2,890.0,891.15,880.45,9956,8765745.2,922,5244,52.67,3,2018,1.822440585009133,Positive,924.2540934478527,883.288763695004,903.7714285714284
2018-03-09,LALPATHLAB,EQ,891.15,894.0,894.0,881.1,891.0,888.05,886.05,10584,9377989.8,770,7345,69.4,3,2018,-0.3478651181058168,Slight or No change,922.8556402682054,880.8443597317939,901.8499999999997
2018-03-12,LALPATHLAB,EQ,888.05,890.0,928.5,885.0,917.0,916.75,907.38,26002,23593647.5,1400,15680,60.3,3,2018,3.2318000112606216,Among top gainers,925.3981088416018,880.4804625869691,902.9392857142855
2018-03-13,LALPATHLAB,EQ,916.75,902.1,914.35,901.1,910.0,908.3,908.54,34945,31748773.25,2381,25981,74.35,3,2018,-0.9217343877829354,Slight Negative,925.6809523495834,880.511904793273,903.0964285714282
2018-03-14,LALPATHLAB,EQ,908.3,908.0,913.25,894.0,900.0,900.05,904.63,72338,65438867.55,1907,58289,80.58,3,2018,-0.9082902124848636,Slight Negative,925.3436920665991,880.1277365048285,902.7357142857138
2018-03-15,LALPATHLAB,EQ,900.05,900.0,909.8,896.15,898.0,903.95,904.98,6826,6177410.85,1099,3638,53.3,3,2018,0.4333092605966371,Slight or No change,925.150183352494,880.0498166475052,902.5999999999996
2018-03-16,LALPATHLAB,EQ,903.95,897.0,916.0,876.55,913.0,894.8,893.52,41278,36882870.35,4612,32993,79.93,3,2018,-1.0122241274406862,Negative,924.6736589087792,878.9834839483627,901.828571428571
2018-03-19,LALPATHLAB,EQ,894.8,907.0,907.85,876.05,880.0,880.45,887.32,11474,10181118.35,1028,6527,56.89,3,2018,-1.603710326329899,Negative,924.7614127795912,874.7385872204081,899.7499999999997
2018-03-20,LALPATHLAB,EQ,880.45,880.95,883.55,846.55,852.1,869.2,870.06,25623,22293445.05,1998,15661,61.12,3,2018,-1.277755693111482,Negative,926.3471453361692,867.6599975209731,897.0035714285711
2018-03-21,LALPATHLAB,EQ,869.2,866.0,884.0,864.0,882.55,880.7,876.56,21067,18466451.5,4540,12673,60.16,3,2018,1.3230556833870202,Positive,924.0588871748474,865.533969968009,894.7964285714282
2018-03-22,LALPATHLAB,EQ,880.7,879.0,896.85,865.0,865.0,870.6,881.97,15210,13414766.15,3133,9051,59.51,3,2018,-1.1468150334960847,Negative,922.3695843346582,861.5232728081985,891.9464285714283
2018-03-23,LALPATHLAB,EQ,870.6,865.0,868.0,822.65,845.2,851.45,845.57,55677,47078655.65,10100,37209,66.83,3,2018,-2.19963243739949,Negative,923.0096214282248,852.426092857489,887.7178571428569
2018-03-26,LALPATHLAB,EQ,851.45,851.0,882.95,843.0,860.15,860.25,864.27,25279,21847867.75,4946,12156,48.09,3,2018,1.033531035292734,Positive,922.7270081243955,847.4015633041756,885.0642857142856
2018-03-27,LALPATHLAB,EQ,860.25,858.0,890.0,858.0,869.1,870.5,882.17,33774,29794337.55,4581,22124,65.51,3,2018,1.1915140947398983,Positive,922.8510403591504,846.606102497992,884.7285714285712
2018-03-28,LALPATHLAB,EQ,870.5,874.0,899.0,855.1,865.05,876.3,879.35,45168,39718628.3,8551,25568,56.61,3,2018,0.6662837449741499,Slight Positive,921.8470018152094,845.4887124705043,883.6678571428569
2018-04-02,LALPATHLAB,EQ,876.3,876.3,884.8,867.0,868.0,871.65,876.74,12628,11071444.0,2439,6667,52.8,4,2018,-0.5306401917151593,Slight Negative,921.1004033425864,843.8924538002703,882.4964285714284
2018-04-03,LALPATHLAB,EQ,871.65,870.0,878.85,856.15,878.0,868.75,869.03,9000,7821303.45,959,5446,60.51,4,2018,-0.3327023461251577,Slight or No change,912.7836513678209,845.352062917893,879.067857142857
2018-04-04,LALPATHLAB,EQ,868.75,869.05,883.0,842.0,848.0,852.1,864.75,325197,281214861.9,3448,315251,96.94,4,2018,-1.9165467625899213,Negative,907.1188765293983,842.9882663277443,875.0535714285713
2018-04-05,LALPATHLAB,EQ,852.1,853.0,879.8,853.0,873.85,876.65,869.13,15513,13482793.2,3608,9754,62.88,4,2018,2.881117239760589,Positive,902.0994013277256,844.66488438656,873.3821428571428
2018-04-06,LALPATHLAB,EQ,876.65,872.0,907.0,860.0,870.5,872.2,880.8,61657,54307567.85,5977,23302,37.79,4,2018,-0.5076142131979601,Slight Negative,893.8178072497262,848.410764178845,871.1142857142856
2018-04-09,LALPATHLAB,EQ,872.2,871.0,882.0,865.05,871.0,870.25,873.42,14399,12576371.7,4061,8156,56.64,4,2018,-0.22357257509746373,Slight or No change,887.5214995352416,851.199929036187,869.3607142857143
2018-04-10,LALPATHLAB,EQ,870.25,870.25,879.0,867.05,873.0,873.7,875.55,7922,6936077.7,2848,5065,63.94,4,2018,0.3964378052283779,Slight or No change,886.1055500147634,851.6515928423794,868.8785714285714
2018-04-11,LALPATHLAB,EQ,873.7,876.0,879.8,867.35,879.0,878.95,878.21,25934,22775380.0,6023,18731,72.23,4,2018,0.6008927549502108,Slight Positive,887.6265394613147,851.5234605386852,869.5749999999999
2018-04-12,LALPATHLAB,EQ,878.95,876.0,883.0,873.5,880.0,881.5,880.56,17656,15547169.2,2580,14235,80.62,4,2018,0.29011889185959205,Slight or No change,887.8397746950063,851.4245110192792,869.6321428571428
2018-04-13,LALPATHLAB,EQ,881.5,881.0,884.0,859.05,880.0,875.1,877.39,29107,25538177.85,2744,22064,75.8,4,2018,-0.7260351673284204,Slight Negative,888.3922208153652,851.5149220417774,869.9535714285713
2018-04-16,LALPATHLAB,EQ,875.1,878.05,881.0,868.9,868.9,874.85,875.92,49691,43525392.55,1570,45832,92.23,4,2018,-0.028568163638442726,Slight or No change,886.7900280884476,856.4599719115522,871.6249999999999
2018-04-17,LALPATHLAB,EQ,874.85,873.65,874.85,850.0,851.1,856.95,866.82,27521,23855789.0,2613,22000,79.94,4,2018,-2.04606503972109,Negative,887.3952066654472,855.3833647631241,871.3892857142856
2018-04-18,LALPATHLAB,EQ,856.95,857.1,869.95,851.45,852.0,855.2,862.47,129416,111617204.7,4558,111336,86.03,4,2018,-0.20421261450492836,Slight or No change,888.5020686225407,852.0907885203164,870.2964285714286
2018-04-19,LALPATHLAB,EQ,855.2,855.8,860.0,851.9,857.0,854.15,857.79,19527,16750015.8,1622,16637,85.2,4,2018,-0.12277829747427972,Slight or No change,888.4573829918209,848.9711884367505,868.7142857142857
2018-04-20,LALPATHLAB,EQ,854.15,851.75,857.9,843.1,847.0,846.3,848.66,23783,20183583.95,2863,19310,81.19,4,2018,-0.9190423227770306,Slight Negative,889.8730985422169,843.9340443149258,866.9035714285714
2018-04-23,LALPATHLAB,EQ,846.3,840.0,851.15,840.0,848.0,846.9,848.04,20302,17216875.05,2441,17176,84.6,4,2018,0.07089684509040682,Slight or No change,890.6248317840627,840.0608825016513,865.342857142857
2018-04-24,LALPATHLAB,EQ,846.9,850.0,850.0,840.3,842.0,843.0,846.78,22266,18854481.35,3199,18345,82.39,4,2018,-0.460503010981228,Slight or No change,891.8405686810064,837.5451456047077,864.6928571428571
2018-04-25,LALPATHLAB,EQ,843.0,849.9,849.9,845.1,846.05,847.6,848.66,42533,36096028.4,7070,38595,90.74,4,2018,0.5456702253855417,Slight Positive,890.264851892407,834.9708623933072,862.6178571428571
2018-04-26,LALPATHLAB,EQ,847.6,849.9,849.9,844.05,848.0,847.85,847.82,13227,11214138.7,3727,9989,75.52,4,2018,0.029495044832472676,Slight or No change,888.988676764168,832.7684660929748,860.8785714285714
2018-04-27,LALPATHLAB,EQ,847.85,845.1,849.4,841.0,847.9,847.7,847.21,19629,16629837.6,3116,15710,80.03,4,2018,-0.017691808692577027,Slight or No change,887.6477418703039,830.8879724154103,859.2678571428571
2018-04-30,LALPATHLAB,EQ,847.7,848.0,852.4,841.2,846.0,844.25,847.0,15081,12773661.15,2757,11104,73.63,4,2018,-0.4069836026896368,Slight or No change,885.3008053331732,829.0277660953982,857.1642857142857
2018-05-02,LALPATHLAB,EQ,844.25,844.25,848.85,831.05,843.6,838.8,842.7,11980,10095515.85,3092,7054,58.88,5,2018,-0.6455433816997425,Slight Negative,881.0165870315155,827.5762701113414,854.2964285714285
2018-05-03,LALPATHLAB,EQ,838.8,838.8,842.8,835.0,835.0,837.75,840.13,9527,8003953.3,2725,5945,62.4,5,2018,-0.1251788268955556,Slight or No change,874.1592084115591,828.1836487312978,851.1714285714285
2018-05-04,LALPATHLAB,EQ,837.75,839.0,842.95,832.7,839.0,838.2,839.06,8836,7413912.2,3238,5353,60.58,5,2018,0.05371530886302267,Slight or No change,867.8775552835898,829.1938732878384,848.5357142857141
2018-05-07,LALPATHLAB,EQ,838.2,840.0,840.4,826.2,833.0,833.95,833.46,42001,35006035.4,3399,38107,90.73,5,2018,-0.5070388928656633,Slight Negative,859.3889798235023,831.839591605069,845.6142857142856
2018-05-08,LALPATHLAB,EQ,833.95,834.8,839.7,820.5,835.0,835.35,828.52,109439,90672750.2,3938,86667,79.19,5,2018,0.16787577192876044,Slight or No change,857.2002995338356,830.9425576090213,844.0714285714284
2018-05-09,LALPATHLAB,EQ,835.35,842.5,847.95,824.0,827.0,828.6,833.36,28997,24164836.05,4343,10364,35.74,5,2018,-0.8080445322319996,Slight Negative,856.0408589455059,828.301998197351,842.1714285714285
2018-05-10,LALPATHLAB,EQ,828.6,831.15,836.0,820.0,825.45,829.95,830.28,108762,90302551.9,3536,97932,90.04,5,2018,0.16292541636495628,Slight or No change,853.9075606954244,826.9781535902897,840.4428571428571
2018-05-11,LALPATHLAB,EQ,829.95,839.9,839.9,811.0,812.0,817.0,824.81,22171,18286926.05,4105,5564,25.1,5,2018,-1.5603349599373484,Negative,856.2657000335623,820.4342999664377,838.35
